URL,ACCION1,ACCION2,ACCION3
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,69,Wechsel bei Rümelingen,Paul Schroeder für Bryan Gomes
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,67,Wat eng Pass vum Ferro mat der Hacke (ass dei schon patenteiert?) dem Galloud an de Laf, m,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,66,Wechsel bei Medernach,Pedro Dos Santos für Sabin Yagremongo Komelo
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,65,1:1 Tor für Medernach,Pedro Miguel Ferro Bernardo
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,64,Schein Eenzelleeschtung Ferro an dann an der Mett Feeler um Gallois, 11m,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,63,Großchance für Rümelingen,Yannick Bour
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,58,Bis elo ass 2t Halschent na neischt geschitt,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,45+1,Seit 3 Minuten blären USR Fans Auer mir hun elo mol ereischt 45 Min errescht,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,41,Gudd Besserung vun deser Säit aus,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,40,Wechsel bei Rümelingen,Ajdin Bjelic für Rabbi Figueira
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,40,Bei Remeleng muss verletzungsbedengt wiesselen,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,35,Großchance für Rümelingen,Bryan Maison
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,31,Großchance für Medernach,Pedro Miguel Ferro Bernardo
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,29,Dan probeiert de Freistouss direkt, wär eo na een rukomm wär et na mei gefeierlech gin,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,26,Gefeierlech Flank vum USR an Mett mee Miedernach kann klären,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,24,An och den Lou op der Bänk kritt Giel. Obwuel vill gemeckert huet en des Keier net,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,21,Großchance für Rümelingen,Yannick Bour
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,14,Großchance für Medernach,Pedro Miguel Ferro Bernardo
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,91,Fir all Leit dei muer keng ze din hun, 16h00 Derby um Bloen Eck: Miedernach vs Miersch,-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,91,Verdengte Victoire.,-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,90+5,Abpfiff,präsentiert von
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,90+1,Steesler Abseitsfall klappt dei lescht puer Minuten perfekt,-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,88,Anzeigestaffel geet elo endlech mee Sonn strahlt drop an domadd erkennt een neischt mei dr,-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,87,Dat hät de Match kennen na spannend maan,-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,87,Großchance für Steinsel,Mirko KRAMARIC
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,85,Bissen Abseitsgoal,-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,82,3:1 Tor für Steinsel,Scott KOPS
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,77,Mee hei sin och gaanz vill technesch Problemer mat der Auer a Mikro,-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,76,Bei Steesel ass den Dany de Sousa dran mee ech an den Stadionspriecher schengen deen Wiess,-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,72,Wechsel bei Bissen,Andy Teixeira für Sven Kalisa
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,72,Wechsel bei Bissen,Ibrahima Sangaré für Odair Alves Oliveira Junior
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,72,Eng kloer Saach hei! Bissen ass kloer besser an domadd och verdengt fir,-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,71,Wechsel bei Steinsel,Ruben RODRIGUES für Ricky BEA
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,69,Abstaubergoal Bissen, Abseits,-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,66,3:0 Tor für Bissen,Bakary Sissoko
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,62,Wechsel bei Steinsel,Dane RIBEIRO FARIA für Daniel SANTOS ABREU
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,60,Den Bisseler Wiessel virdrun war verletzungsbedengt,-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,58,2:0 Tor für Bissen,Samir Severa
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,58,Een Bonjour geet raus un den Vince Verna! Bis muer ;),-
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,53,Großchance für Bissen,Mamadi Djalo
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,51,Wechsel bei Bissen,Mamadi Djalo für Edson Gaspar
https://www.fupa.net/match/fc-atert-bissen-m1-fc-alisontia-steinsel-m1-210828,49,Großchance für Steinsel,Daniel SANTOS ABREU
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,90+1,Abpfiff,präsentiert von
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,66,3:3 Tor für Rümelingen,Valentin Sannier
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,64,3:2 Tor für Rümelingen,Bryan Gomes
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,57,3:1 Tor für Junglinster,Demir Mekic
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,23,2:1 Tor für Junglinster,Donovan Bonet
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,18,1:1 Tor für Rümelingen,Bryan Gomes
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,16,1:0 Tor für Junglinster,Donovan Bonet
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,1,Anpfiff,präsentiert von
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,News 🤓📝,3.Spieltag: Torfestivals in der Ehrenpromotion!,-
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,46,Anpfiff zur 2. Halbzeit,-
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,45+5,Halbzeit,-
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,Die Aufstellung für FC Jeunesse Junglinster ist eingetragen! 💪,AUFSTELLUNG CHECKEN,-
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,Der Liveticker ist gesichert! 🙌,Alle Infos und Geschehnisse zum Spiel gibts live von:,Elio Gonçalves
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,News 🤓📝,Ehrenpromotion: Spitzentrio vor Härtetests,-
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,News 🤓📝,Alle Ergebnisse vom Sonntag,-
https://www.fupa.net/match/fc-jeunesse-junglinster-m1-us-ruemelingen-m1-210829,Schau dir hier nochmal alle bisherigen Spiele FC Jeunesse Junglinster gegen US Rümelingen an.,👉,ZU DEN DUELLEN
